mel_0,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,mel_11,mel_12,mel_13,mel_14,mel_15,mel_16,mel_17,mel_18,mel_19,mel_20,mel_21,mel_22,mel_23,mel_24,mel_25,mel_26,mel_27,mel_28,mel_29,mel_30,mel_31,mel_32,mel_33,mel_34,mel_35,mel_36,mel_37,mel_38,mel_39,mel_40,mel_41,mel_42,mel_43,mel_44,mel_45,mel_46,mel_47,mel_48,mel_49,mel_50,mel_51,mel_52,mel_53,mel_54,mel_55,mel_56,mel_57,mel_58,mel_59,mel_60,mel_61,mel_62,mel_63
0.8843986496763618,0.8802954217463376,1.140993186014757,1.5618361545292856,1.7769519239096327,1.7295855358378647,1.6507906618058201,1.7691473830800373,1.7137199015725544,1.536475999312057,1.431817604650291,1.1850076654807635,0.9974893141918918,1.0177218849096845,1.163451197010389,1.0812757884861182,0.2420314179780911,-0.18117799874961746,0.19332356361631642,0.03121485754180948,-0.41359540671014816,-0.39096666910788,-0.2300776269864461,-0.3939660983675424,-0.2121922115941323,4.107621307641619e-05,0.0670429539912357,-0.0031629610318110886,-0.11842172544621382,-0.4869160572377107,-0.5948192053960758,-0.4152460400767128,-0.23037801001800315,0.10298730411754013,0.2423948782959475,0.007989850991361926,-0.2843076633334908,-0.547635287320288,-0.6164867299613502,-0.5988295114701871,-0.5270467226343934,-0.453423833499082,-0.4238236644022064,-0.4657099588000856,-0.4934064397976281,-0.5748460724371651,-0.6727551535602997,-0.7408213751385713,-0.6969123918531128,-0.6668083464615724,-0.6377684743976427,-0.3627271857422727,-0.1728076909850241,-0.04143750358032071,0.05117596387631173,0.037957046736558725,0.06009577351531512,0.06475281742190489,0.22162785696618767,0.9578301463534528,0.2273803718596917,-0.12989652045302694,0.04335790433479444,0.6162914263941661
-0.16209734907201712,-0.27823489047278627,-0.15625127135640252,-0.12486180311441258,-0.348156415406774,-0.3772436456940322,-0.3467873398247734,-0.4347023222935984,-0.5504821251633075,-0.4939344197147161,-0.3974876818907612,-0.4467354281249435,-0.6665593614718874,-0.7560641593063566,-0.66654591374639,-0.4481552590393332,-0.3017300276806174,-0.35958301615863236,-0.5039394261426866,-0.6594630348036812,-0.6633375469667441,-0.8437088835087241,-0.8375833614931859,-0.6148299041535696,-0.5164102418346725,-0.38442705618018114,-0.2020590898326493,-0.2594395632743668,-0.6449054699081398,-0.8673008433949124,-0.753327423420746,-0.688536074866975,-0.6690124242983662,-0.6554037947569047,-0.5675985846087418,-0.5628156899584248,-0.4181707231242733,-0.48700441359111846,-0.3668948426188127,-0.25270102855344234,-0.2960591392205935,-0.4741968382108249,-0.5474793239154522,-0.5178937521352837,-0.5384981254432276,-0.6592304968523698,-0.7158690074921952,-0.4204778063086722,-0.33522151793085947,-0.4664652887990613,-0.5223468792720423,-0.35637682125847897,-0.24980351276658466,-0.31020566830344015,-0.2252235779251397,-0.18382638391134104,-0.12568141091277393,0.18271945774438197,0.10597383689007393,0.2980488275871276,0.06548537763747968,-0.22864201917247837,-0.18115194039072322,0.24105489317649342
-0.0869609362492534,0.036506503047478184,-0.04179881734980307,-0.34202112609373414,-0.7386534355068303,-0.5128340756491004,-0.3975467929600281,-0.5599564163970838,-0.5250461128317893,-0.3410678898296968,-0.02997552845058287,0.12171306538999792,-0.04059288098951657,-0.10630091745550498,-0.1889908820648278,-0.2890605560555828,-0.15828671793072144,-0.16600354309437437,-0.2929048121969946,-0.43067813792772675,-0.5407172367643269,-0.6790047738728316,-0.708920105656367,-0.7014396604840872,-0.6780283615753131,-0.6761156904406467,-0.9548021102699926,-1.0906504256843843,-1.068604290694327,-1.0959700972973159,-1.0257901839816912,-1.0093075233021116,-1.0098610430197232,-1.0061569294490469,-0.936912963206546,-0.8084138613385392,-0.8614286759698133,-0.9486840768528536,-0.872293674763408,-1.0405208308235374,-1.2085679154644857,-1.2682456231644201,-1.2009641527065888,-1.1247109923061351,-1.1215306109767957,-1.2580521828968998,-1.4055901375726447,-1.5622627488384393,-1.6159900319904272,-1.5506733652669458,-1.4898953260669172,-1.3227586341669895,-1.2235399526016806,-1.2932000822015277,-1.3581338809785553,-1.4067330805069924,-1.6075309510910483,-1.6822654502553787,-1.7041749759879847,-1.614198784881941,-1.5459944893420772,-1.362024714102109,-1.3457790990165086,-1.4528028404160418
0.45049525126764384,0.5253811178538851,0.7326832772240299,0.6720871989970558,0.1900114728513488,0.148677426457367,-0.006031807478707354,-0.09014485572004735,0.1029813716196203,0.19711261586626302,0.42309670517982984,0.6480260296681883,0.8297985456222267,0.8988464400200615,0.8114586006206196,0.9506696072881871,1.2194163364216049,1.010345362807545,0.47253271475654557,0.1837098637666267,0.25682466913248064,0.3128066480288962,0.4505365728989124,0.536170193208508,0.40876722171146623,0.0860190627128961,-0.2791126043771287,-0.4414112591959456,-0.3492052949351672,-0.1302448739967296,0.07601675861128615,0.09474919628549927,-0.0680085375066308,-0.19370653320088704,-0.2599707792147238,-0.41639679510327027,-0.4004622640218645,-0.3786172655796957,-0.3972589143936593,-0.31295760948908924,-0.20296027017450644,-0.2397851235654042,-0.09397206679862942,-0.05207487408751587,-0.0666117148232288,0.18587213715709294,-0.1230047825632995,-0.17533054660132094,-0.1965807381763735,-0.08601836001041348,-0.22348149721727484,-0.2551732547619213,-0.27391340377308726,-0.18407404422978024,-0.2639649859772437,-0.3232691317114435,-0.5505575358600819,-0.6939647364159564,-0.7004903976239792,-1.037464783106389,-1.0019585253371237,-0.9173347659284324,-0.8324519485392021,-0.5517400810503602
-0.7444995621684297,-0.6943451235349531,-0.5184424500691915,-0.40516932370708514,-0.5097053486044619,-0.6018358840078034,-0.6906854760122112,-0.8187265956249223,-0.9954730985367702,-0.9741304048247386,-0.9174120179976952,-0.6928641640186027,-0.6552464306953023,-0.6944376974342763,-0.698308079379676,-0.6560710362139338,-0.6959347201615242,-0.8834839705611234,-1.0920912947648602,-1.2030761725855295,-1.1533277809819518,-1.1139487948463656,-1.3076052029239407,-1.456180788786824,-1.4022110521155635,-1.3892934188143111,-1.4449631918954553,-1.449028840301811,-1.4180535218902017,-1.4446297765490121,-1.3096654913610584,-1.0539586856666183,-0.9532611735942244,-0.8987696589115372,-0.8996099679366405,-0.9019494778561633,-0.9301675220423437,-0.9105376990450088,-0.8560452268958059,-0.7864636828487185,-0.7275612421959705,-0.6954255689993443,-0.6575434950522859,-0.6873072957117453,-0.5163149517606291,-0.6353413566829537,-0.8022646495322435,-0.7000034424275194,-0.07734542813499368,0.22834938115433098,-0.14544153720608105,-0.2864404623283572,-0.12081024319968606,-0.39526938715266524,-0.5469742593989206,-0.6723638261875261,-0.8262070764212452,-0.9968036391510775,-0.9598795526357352,-0.8914125933344648,-0.8628039452523885,-0.8049188117332801,-0.7675252281476317,-0.46292070053543116
-0.5725917108150611,-0.4804891431300493,-0.11526054803909201,-0.031014583158199056,-0.25178079790600283,-0.35378909396935904,-0.32516485691470703,-0.41601524649070026,-0.3531558445816247,-0.21106551349815372,0.005157596105813893,-0.023078129709936127,-0.06986365347827468,-0.027010833795090644,-0.04537982744801848,-0.0011970542039370566,0.11858161916871213,0.27267438529839494,0.9516282259087501,1.4589648177923331,1.1960421135411379,0.9636404365200022,0.9428146104997164,0.37043466841655637,-0.11536313099208488,0.015577635922954998,0.4156838432683493,0.6869086576653021,0.8721144121788671,0.9199042607070788,0.5974913768604636,-0.12664179743438284,-0.5351386742775335,-0.7893560748709141,-0.8935211949774997,-0.9016232799647398,-0.8852615551741757,-0.8071607822171424,-0.3507741192437567,-0.04489482576327212,-0.24383852824786312,-0.5656132249920331,-0.6984880694164294,-0.7868811667802205,-0.8520060651845249,-1.0469736930242302,-1.1476213430471944,-1.1443523225849321,-1.1203779063619663,-1.126054722219982,-0.9634150979173352,-0.7750888047856125,-0.7168085331078005,-0.6455636477480902,-0.6720856811468219,-0.7130741631138696,-0.5575122264181682,-0.7228734652728817,-0.9356467650699362,-0.9487311467795952,-0.9309323148824207,-0.7013171407975562,-0.7863097057442119,-0.7985678361329538
-0.08691545747391864,0.08562610038094384,0.0950902491362428,0.07330073038289668,-0.14829736981246186,-0.32913100548477325,-0.3240744428425508,-0.36005755843446774,-0.4975277143082795,-0.39815603595483606,-0.3654992849047033,-0.39928385937215327,-0.43655528007017347,-0.445110564468371,-0.5958582068702791,-0.6654232926305851,-0.6370489416306665,-0.475418168750309,-0.5656898562185709,-0.9412207492380797,-1.150169049957449,-1.077246586464276,-0.9423087682206903,-0.8491318890882604,-0.7054211927294746,-0.5927408871748729,-0.7312426610586407,-1.1173833287549277,-1.25276279789021,-1.1850571211391143,-1.1016963588840938,-1.1738432252093136,-1.138304811022801,-1.1002242821322792,-1.066170515920785,-1.0556562169839048,-1.0276595458076538,-0.9940510327654923,-0.8980283576858452,-0.9623569472061335,-1.03302306920019,-0.9663544351425872,-0.9148754820806391,-0.8378942863952547,-0.8625361675167343,-0.9981283014905753,-1.1799436325265273,-1.243121150569907,-1.24405876951064,-1.2263067829955439,-1.1375203120354467,-0.9468789982854117,-0.9306741169275072,-1.0789688364055086,-1.1156344985874904,-1.2085136171759439,-1.390473109955533,-1.4200812790889528,-1.4730708356958933,-1.4645967738426477,-1.4616298727670252,-1.289959512422541,-1.3087307717529313,-1.3939005506417945
-0.14322782356133884,0.09409444936693123,0.2511089583669825,0.48376029782218677,0.526001743868065,0.23817706350664508,-0.23230551843744682,-0.3548970274347332,-0.44866574042311935,-0.3336713113525459,-0.07085732133930836,0.09973939495274917,0.238291101807496,0.33522267338995754,0.26932857065262306,0.25744064990423016,0.3541359033548687,0.3653026147993945,-0.2326631979451438,-0.6188185554393333,-0.5413550274674229,-0.4936373742805503,-0.4426907159926326,-0.38663880469925166,-0.3543078891001722,-0.46790751921532864,-0.7605945479417283,-0.9454196084933173,-0.8992358396418356,-0.3321899853330961,0.489899569365921,1.165485835752717,1.7236509136936253,1.8975352535838903,1.6902739459605187,0.9837909644041003,0.18873787395296765,-0.4710556937669505,-0.7135081339704287,-0.7461904778417165,-0.7523717803721476,-0.7386949247697164,-0.587636664634939,-0.5558019403428808,-0.5007090244468088,-0.4000158766565076,-0.7838485945666276,-0.8937890852322562,-0.9649586470346159,-0.9046810844176784,-0.9409775463301907,-0.9377795001187049,-0.9004906122197202,-0.6958342053473799,-0.7990820871176978,-0.8911156690953375,-1.032833866444618,-1.0349567297625046,-1.058476713951257,-1.327029866502849,-1.2699312520680655,-1.0570064545741897,-1.0494419533328265,-0.8840528307636287
0.33957364729205824,0.3896008728787608,0.6216530628897325,0.4872998215100546,0.2610487648516046,0.4340271441109429,0.6216790097632444,1.0361395989002486,1.3074440760195178,1.2147494124143696,1.100017870748911,1.0235548269463315,0.824774377640918,0.6718265436086588,0.7908622211032243,1.0739510267188035,0.7848007539342201,0.2597286740431115,0.041331587133850566,-0.025959965660456195,-0.13942679923206602,-0.1336585320196696,0.13305664014636603,0.6240599798507135,0.7806161486107536,0.587259432039018,0.5655412100980649,0.500307352609411,0.33010701515220114,0.2605522912767928,0.3298362918315855,0.11524385319904251,-0.14803352489890018,-0.3518122922939159,-0.43827415629244454,-0.37967981756164765,-0.4659611355861465,-0.5758499800987245,-0.45743841396209,-0.3122644271287935,-0.11082071757214507,-0.010892178616681987,-0.2447365597220188,-0.2252935562632289,-0.019525860953102242,0.12202175362114029,-0.16733617408320256,-0.14134527458983573,0.212724856901673,0.30165832154546574,0.12454213322389161,-0.4025836330006219,-0.5333098559720424,-0.44690628495683554,-0.4262649247920875,-0.5105394147346266,-0.4324677914415975,-0.4759875582587263,-0.2720165175262706,-0.5529005560578792,-0.6193421075791624,-0.4501953429071198,-0.18119487813045346,-0.8329476558072634
0.7239969284826903,0.8515893598271572,0.8294507232584644,1.0460619575886534,1.4568538269074625,1.5782096585409229,1.5518910497246465,1.337253847089137,1.1535723330618453,0.828752265478807,0.7996677247864452,0.819331068445218,0.7188729817698886,0.7078408186495756,0.7210633110368774,0.7886219857012958,0.8786810580605814,0.5981357539754594,0.8972921448701204,1.6794636816665136,1.4970999251860757,0.8468735827977487,0.7769597204822644,0.6707050733283387,0.5463790925804505,0.6033987751328331,0.7916527290926676,0.9498684066719247,1.1602021860414085,1.0754960930643405,0.2023033945956626,-0.09550781162271606,-0.35773132955609904,-0.4345825469820128,-0.44455579245930293,-0.46654824697300423,0.27059781198802324,0.32597583539017405,0.1779956288684804,0.36086760306566157,1.5348216287641476,2.5913852413389975,1.6759217860447517,0.4456087242637571,-0.30827623333790244,-0.5183683532408633,-0.6939624251344255,-0.7422585038811321,-0.6402238072701906,-0.631133930517003,-0.5696418283168405,-0.43982893368631876,-0.2485253005775212,-0.0034644766619607082,-0.027675266334429967,-0.0005607609637017988,0.2388682339776461,0.42754480332762573,0.33653288790344493,0.16850596744847823,0.21613685368905383,0.49915691534827494,0.9136369375517152,2.045757374911618
